,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
insight,27.21,0.17,0.24,0.22,7.22,5.4,0.01,11.01,0.41,0.37,1.13,0.27,0.13,14.77,1.66,10.15,0.39,0.03,0.26,1.15,0.02,5.05,8.86,0.35,0.26,0.69,0.02,1.38,0.5,0.39,0.22,0.0,0.03,0.01,0.05
cause,39.2,4.1,3.2,0.68,0.69,4.99,2.31,1.37,0.44,3.67,1.74,2.45,8.62,1.2,0.04,0.39,7.55,2.1,1.73,6.44,1.25,1.27,0.49,0.05,2.29,0.06,0.06,0.8,0.35,0.06,0.24,0.04,0.06,0.05,0.02
discrep,14.7,7.47,2.49,3.46,0.0,1.01,3.28,4.16,16.62,0.58,0.02,2.58,8.72,3.87,14.42,0.0,0.13,5.22,3.43,4.28,0.25,0.11,0.51,0.25,0.35,0.02,0.25,0.0,0.91,0.6,0.13,0.02,0.09,0.0,0.06
tentat,52.74,4.11,0.55,1.24,0.0,4.29,1.77,1.82,0.0,1.56,10.13,0.38,7.83,1.5,0.7,1.25,0.09,0.01,1.02,0.05,5.03,0.81,1.43,0.53,0.0,0.02,0.0,0.09,0.01,0.68,0.09,0.09,0.0,0.19,0.0
certain,41.79,0.0,0.25,3.99,0.08,0.0,4.56,2.83,2.44,9.05,2.5,0.19,0.02,0.26,1.96,3.02,5.89,0.29,1.98,8.28,4.04,0.07,0.16,1.3,0.25,1.2,0.39,2.07,0.84,0.04,0.03,0.01,0.17,0.0,0.03
differ,49.22,0.35,0.63,0.0,0.06,0.29,0.14,7.72,10.02,7.57,3.92,0.41,4.54,0.92,0.76,0.46,6.66,0.0,0.01,0.42,1.18,0.41,0.45,0.0,0.06,1.47,0.01,0.82,0.09,0.72,0.33,0.36,0.0,0.01,0.0
percept,1.78,3.3,14.92,0.02,41.1,1.64,1.45,7.5,8.86,0.06,0.04,3.14,0.66,1.26,2.96,1.49,1.76,2.46,0.59,0.65,2.42,0.14,0.01,0.07,0.59,0.62,0.03,0.17,0.18,0.0,0.01,0.06,0.08,0.0,0.0
see,1.58,7.97,5.31,0.07,7.24,3.94,3.1,5.71,3.89,4.37,26.81,0.01,4.67,0.17,4.97,7.78,4.0,0.0,0.02,0.98,1.19,0.31,0.01,0.05,3.14,0.38,1.34,0.06,0.02,0.32,0.13,0.02,0.07,0.35,0.01
hear,12.31,0.09,9.94,0.71,34.19,12.62,0.04,0.0,1.93,0.45,6.49,4.35,1.55,4.29,2.57,0.69,0.1,3.76,0.4,0.0,1.31,0.81,0.22,0.04,0.04,0.17,0.61,0.03,0.13,0.08,0.0,0.0,0.0,0.02,0.06
feel,6.04,13.69,0.99,5.01,2.16,11.36,2.75,30.83,6.28,0.0,3.03,0.96,3.29,4.1,0.33,2.36,0.41,0.09,0.47,0.3,0.11,0.07,1.17,1.03,0.57,0.23,0.21,0.0,0.24,0.34,0.0,1.05,0.0,0.41,0.14
bio,1.49,12.02,9.91,0.0,5.46,0.62,29.86,0.04,9.84,11.99,3.25,5.81,0.22,0.78,2.34,2.62,0.27,0.39,0.19,0.08,0.03,0.06,0.06,1.2,0.13,0.66,0.23,0.03,0.04,0.2,0.04,0.13,0.01,0.0,0.0
body,4.99,7.15,12.17,0.87,4.74,0.63,25.48,1.54,6.32,12.67,8.12,7.27,0.19,0.08,2.13,1.53,0.23,0.22,0.05,0.14,0.42,0.02,0.09,1.23,0.07,1.07,0.24,0.02,0.04,0.17,0.02,0.04,0.03,0.01,0.0
health,0.8,16.55,1.11,3.68,0.01,4.7,2.61,19.09,15.01,0.05,19.07,5.48,0.01,0.11,2.03,0.29,0.03,0.04,1.0,0.01,5.26,0.1,0.06,0.07,0.74,0.09,0.0,0.8,0.03,0.36,0.05,0.71,0.02,0.0,0.02
sexual,16.54,0.03,1.57,0.63,2.69,3.46,0.15,0.6,4.73,15.29,0.8,0.17,4.66,16.58,4.83,0.05,0.37,10.12,0.94,5.16,2.69,0.42,2.66,0.41,0.35,0.71,0.47,2.08,0.09,0.06,0.38,0.01,0.04,0.22,0.02
ingest,22.26,0.02,0.6,1.94,0.35,6.35,2.77,0.31,0.38,0.36,1.82,5.36,3.15,0.26,1.87,11.23,2.71,0.02,17.83,5.9,0.07,6.44,5.72,0.04,0.15,0.0,0.21,0.0,0.76,0.02,0.0,0.03,1.01,0.0,0.07
drives,30.15,31.3,13.96,10.88,1.17,1.37,0.79,0.14,3.63,0.02,1.68,0.05,0.23,0.03,1.55,0.02,0.0,0.12,0.05,0.01,1.34,0.03,0.19,0.04,0.22,0.04,0.2,0.17,0.02,0.05,0.06,0.3,0.15,0.0,0.04
