,0|14.35%,1|12.58%,2|10.75%,3|8.49%,4|6.87%,5|6.3%,6|5.51%,7|4.88%,8|3.86%,9|3.48%,10|2.83%,11|2.57%,12|2.5%,13|2.35%,14|2.04%,15|1.55%,16|1.47%,17|1.32%,18|1.15%,19|1.07%,20|0.91%,21|0.68%,22|0.63%,23|0.47%,24|0.39%,25|0.35%,26|0.28%,27|0.15%,28|0.11%,29|0.08%,30|0.06%
FIRST MUSICIAN,0.15467275301491104,2.725319912406978,-1.3616342506334906,-2.8448906313087146,-0.3068841560882169,-1.2819541604870082,-2.3800257669085854,-3.7616403285029345,-1.1184220310309827,0.91882434628741,2.0615505867138846,-0.16639978755809678,-1.0758436143563683,2.714394157089537,-1.267701751624709,2.412213813663262,-2.7117107918851397,-1.0488066913949667,1.4014601602736274,-0.5206078615317362,-0.9471417641600364,-1.1451766850912104,-0.0813202252028489,-0.43919637591223015,0.00784161551611888,0.3699495637449558,0.05213283247041881,-0.040779008762103344,0.055852857979035435,0.1567461380878051,0.10654113885441667
MERCUTIO,-1.0767144691561177,-3.4298147788334115,0.577233863396063,-0.09174346675597651,-1.1178405693671385,0.9159942519463671,1.5667632003930723,-1.5142910020081666,-2.4998947458982763,0.12920715399014285,-0.36920115030547457,1.413610512479561,0.13072600943779145,0.5554973751950903,-0.10032301652742387,-1.694319122736656,0.16099844565504978,0.9178159838052536,0.06034458050758773,0.33457471849946013,1.2464822710143737,-0.555493800829913,0.6431047919716744,0.14485375337292836,-0.02986603267220696,1.681454650293227,1.480179653507562,-0.2679987400456524,0.014511043543721812,0.34642048636496386,-0.0027344128528990646
MONTAGUE,0.2370258505023378,-2.778993604846878,0.9760950111154527,1.2097900276899523,1.214742067553985,0.6768121541461919,0.5377118951188188,0.45836188110265613,-0.4486416079870573,1.2379312317639086,1.5286249159771197,-2.909721169028323,2.803951050118304,-0.8491770981169563,0.6244607980176572,0.5858757431206973,2.0596559713310323,-0.7393578367623852,0.5361770928024469,-1.6211452106532416,-0.10439452917550068,-1.897700009584006,0.8636898165862975,0.745019767048732,-0.8775496734883698,0.30843538538059206,-0.6309296343360591,-0.3093479191397261,-0.22492618878314846,0.012236596612805472,-0.011970452432816973
ABRAM,-5.448836207391521,8.906531489351568,-1.539253799165249,-8.762341899717491,2.305634199657126,-2.769493500485415,4.744961574746614,-0.9986444129569135,1.7450096730087301,0.6630298253403991,-0.5710222934544081,-0.939160288913847,0.7506065320843004,-0.8945602158355528,1.5363811951489599,-0.4225246324050911,0.039042130047675316,0.367322289733348,-0.5290203113476292,-0.5620177948373235,0.4419082598742823,0.14924127066745893,-0.03438240268084209,-0.0036577572392750336,-0.07781028690282281,0.026215071884463155,0.18633419321362144,0.025136205398309835,-0.06422604639365118,-0.0016855579178849385,-0.011103020411827902
JULIET,1.4996349889635507,-2.6428031555044336,1.5356797080213003,-0.9814788711053236,0.42870916828814165,-0.04210003957547272,0.3177253886300303,-0.6005340214498519,-0.8328424466829198,-0.9469065594750259,1.1911659962132635,0.2366192609669901,-0.4487205302075837,-1.1413419626503218,0.7136844135393217,-1.0303596848703502,-1.1187741868566055,0.929817464952605,-0.43064648716626713,-0.22023427320619204,0.061045057520146835,-0.14468035353848663,-0.569231593907488,-0.5391206774184354,0.6122572088913298,0.47345042906092666,-1.3087806397953754,0.41125894377368144,-0.22862890984754686,0.5566903395393097,-0.7003116049478638
SECOND SERVANT,0.7568105157556546,-3.8796510558776167,2.4360083900876743,-2.5365072249677683,1.9600088051091078,5.372903568583613,-0.8694380365154202,-3.592978550660466,6.032819079766051,-0.678593064044299,-2.5188939033279745,2.015537845992616,1.4263118690698289,-0.20630991987286962,-1.4192053186707594,0.5058418880169716,-0.27833454335838925,-0.8727446866882564,0.19762912636351232,-0.20889218441591842,0.6513846897615093,-0.018828689047015252,-0.3580955451211571,0.49165583805659774,0.2153765295781472,0.04306598064163406,-0.16449844194895583,-0.18041102818344176,0.031287204075885804,-0.023781049927529746,-0.02166827373458364
PAGE,0.2121846699833332,-1.1294193126081147,-2.021844428381754,3.410008855579648,-0.5398122614749769,-0.799155672173879,0.32856834877681707,0.010464487403849214,0.12075237454510125,0.5856289675083419,-2.59576251931981,0.13494989652179032,-2.9053232847659936,-1.1326570239155032,1.4564310115421466,2.0041599939479635,1.2332106030200554,-0.7760920495295499,-0.5709558773369932,-2.965850035183755,-0.5052124259939174,0.6137696887368485,-1.3756447157648226,-0.49508103407312365,0.014812211975885626,0.5147878117928103,0.4823907819378624,-0.07135472469594593,-0.06047011588689517,0.04388320867999956,-0.07001473178605255
FIRST WATCH,-0.3497377767082953,-2.4111752247139244,-1.3958531625130752,3.634175844805982,-3.8865372782657848,1.0390433235111158,3.848409380068943,-1.706404363151114,1.493632524003426,1.0264597862727038,-0.07151750900723368,-0.980710145612851,-1.0827232500157025,2.4939220734115883,3.703290287846825,-0.1859579199584511,-1.4398811182580178,-1.377892060848853,-1.8135768827302643,1.3770238862013042,0.4174851313485314,-0.453245355501415,0.23845323202195157,0.33513106916164564,0.06288719897171408,-0.26971034039745273,-0.3325157824260173,-0.044529218631739365,-0.0011746821863003849,-0.11882350404394042,0.0821590957358137
SECOND MUSICIAN,0.8355168648533359,2.5686896371654595,-4.360092703132174,0.1810462554368033,-6.149129456109032,-1.8192725939870191,-6.455876584535673,-1.837971517947992,0.786151424179966,-0.8813587015212814,-2.2373315662328412,-1.0424881265572201,2.670666959645795,-0.27443132568666356,2.028742704102928,-1.5285545747958484,0.15116585106614325,0.6410425759079,1.3389656113416486,0.09676709856388714,0.05329914366796109,0.33267461799169945,-0.2713685951725827,-0.13221181003530247,-0.2345512419368427,-0.14299927666370238,0.011843203821912462,0.0004431050524180029,-0.09499080149766294,0.0850413720057883,0.0017608472243308844
CAPULET’S COUSIN,-13.46074343584009,1.916605098442481,10.328092691138313,3.4648204152587665,-0.86018340460546,-0.9245572351987357,-2.3718545257271115,2.0225171625264027,0.5437737510264837,0.7908030178069175,-0.4531001969450006,0.205202689362249,0.4393161114304954,1.2952388559029477,-0.04348223602985975,0.18661918320216256,-0.02525427657323642,0.2102298673410698,0.06440325797491582,-0.04258088504267523,0.20338403887256395,-0.04880409136047426,-0.1526611043245841,-0.43424846489262003,0.18818600298202742,-0.05146645657859961,-0.09515037374696951,0.05028227671313523,0.00838527820105818,0.0228571837314322,0.013230956454044908
